uuid,created,updated,queued,units,status,time,ingestion_time
404a6529-b2f3-47d1-a070-a43aa3627cf5,2022-01-29 02:15:13,2022-01-29 02:15:19,2022-01-29 02:15:14,mm,completed,5330,2023-03-06 20:44:56.249047
30fc8351-0463-447a-aebd-9c8dad1a13b8,2022-05-18 14:18:36,2022-05-18 14:19:04,2022-05-18 14:18:36,mm,completed,27959.0,2023-03-06 20:44:56.249047
8e35ec95-d03c-4987-868f-9f6fe8e34db0,2022-04-06 20:05:55,2022-04-06 20:05:57,2022-04-06 20:05:55,mm,completed,2235,2023-03-06 20:44:56.249047
fe45e16b-08ed-453f-9f1d-d44ee2447ed0,2020-08-13 10:29:26,2020-08-13 10:29:27,2020-08-13 10:29:26,mm,completed,446,2023-03-06 20:44:56.249047
ea0a285b-00b1-4fb2-bb00-7afca412ce5d,2022-12-20 03:13:10,2022-12-20 03:13:13,2022-12-20 03:13:10,mm,completed,3644.0,2023-03-06 20:44:56.249047
3bd023b4-c733-43b7-911e-5a759c355fb2,2020-01-21 17:17:22,2022-10-12 08:45:57,2022-10-12 08:45:55,mm,completed,1910,2023-03-06 20:44:56.249047
6474d7b3-dbe8-41ea-84dc-159cbd9a98ac,2020-04-07 13:39:43,2020-04-07 13:39:54,2020-04-07 13:39:43,mm,completed,11126,2023-03-06 20:44:56.249047
cec1c878-074f-4f70-8a97-2c58b81a5035,2020-09-14 13:36:14,2021-11-23 13:28:18,2021-11-23 13:27:49,mm,completed,29838,2023-03-06 20:44:56.249047
460639ea-d94d-4fbd-a910-541313d80f5a,2019-04-01 16:08:37,2019-04-01 16:08:44,2019-04-01 16:08:38,mm,completed,5760,2023-03-06 20:44:56.249047
fb52f882-3dd1-40fa-974e-efeb631ec324,2021-02-24 14:29:47,2021-02-24 14:29:50,2021-02-24 14:29:47,mm,completed,2534,2023-03-06 20:44:56.249047
8b386206-e53e-4a10-b117-23bd62c2e785,2020-04-20 14:00:48,2020-04-20 14:00:53,2020-04-20 14:00:48,mm,completed,4696,2023-03-06 20:44:56.249047
9e094ff7-d1c8-4881-a451-4f1be268d3d9,2022-08-05 21:20:51,2022-08-05 21:20:56,2022-08-05 21:20:52,mm,completed,4638,2023-03-06 20:44:56.249047
518bdd4d-5dfc-4b8e-9695-dd1f5982cb0e,2019-05-27 13:04:50,2019-05-27 13:04:56,2019-05-27 13:04:50,mm,completed,5516,2023-03-06 20:44:56.249047
f12838f2-db63-4955-a888-67e6eea00cfd,2018-10-25 23:39:55,2018-10-25 23:39:56,2018-10-25 23:39:55,mm,completed,1101,2023-03-06 20:44:56.249047
7ae9f7ac-7bca-445b-b787-da3babbe2e2e,2018-12-22 22:31:12,2018-12-22 22:31:13,2018-12-22 22:31:12,mm,completed,953,2023-03-06 20:44:56.249047
8d89fe5c-7f94-42d1-9514-e9a7f9bda8cd,2022-05-04 08:44:08,2022-05-04 08:44:17,2022-05-04 08:44:08,mm,completed,9084,2023-03-06 20:44:56.249047
501ff85c-877c-44d9-a5e3-bcab37fecfd7,2021-08-12 04:03:41,2021-08-12 04:03:45,2021-08-12 04:03:42,mm,completed,3844.0,2023-03-06 20:44:56.249047
bc216982-4ce7-4f4b-9b82-65d0d3ab4003,2018-10-25 23:32:35,2019-11-19 00:56:23,2019-11-19 00:56:04,mm,completed,19585,2023-03-06 20:44:56.249047
5a3cf199-3494-42ce-818a-ec8b6581f943,2022-06-06 16:35:44,2022-06-06 16:36:51,2022-06-06 16:35:45,mm,completed,44282,2023-03-06 20:44:56.249047
029f314b-9467-4eca-9caf-9801195ea943,2022-10-11 15:21:43,2022-10-11 15:22:04,2022-10-11 15:21:43,mm,completed,14955,2023-03-06 20:44:56.249047
0ffe3deb-2a30-441e-9082-9c61ff100507,2022-05-09 09:30:05,2022-05-09 09:30:08,2022-05-09 09:30:05,mm,completed,2235,2023-03-06 20:44:56.249047
a7b9b2d6-9d25-4ffe-94ac-e8e9e04d7a2a,2020-01-02 07:41:35,2020-01-02 07:41:36,2020-01-02 07:41:35,mm,completed,279,2023-03-06 20:44:56.249047
dd564ca0-d4e8-40e1-8653-5b2fd41352fd,2019-06-24 08:34:59,2019-06-24 08:35:00,2019-06-24 08:34:59,mm,completed,1587,2023-03-06 20:44:56.249047
5205dc3b-aa0e-435e-a3b9-4681ce47306d,2019-04-19 07:35:58,2019-04-19 07:35:59,2019-04-19 07:35:58,mm,completed,1053,2023-03-06 20:44:56.249047
d18f2226-09d0-4d3c-a453-51e9b7fa5cdd,2020-01-27 19:03:14,2020-09-05 15:04:53,2020-09-05 15:04:51,mm,completed,1795,2023-03-06 20:44:56.249047
4201a4a5-749e-417e-a28e-913614726d0d,2020-11-30 21:07:51,2020-11-30 21:08:17,2020-11-30 21:07:51,mm,completed,25442,2023-03-06 20:44:56.249047
1f002d3a-2f8b-41d3-b98c-f7c85b0dae76,2022-12-14 14:36:55,2022-12-14 14:36:56,2022-12-14 14:36:55,mm,completed,860,2023-03-06 20:44:56.249047
c1031ae8-ed19-4df5-acca-4140a72a4317,2022-02-02 16:30:49,2022-02-02 16:30:52,2022-02-02 16:30:49,mm,completed,2371,2023-03-06 20:44:56.249047
331272a5-3623-4d9a-a407-dca21433f0fe,2021-11-16 18:18:12,2021-11-16 18:18:29,2021-11-16 18:18:12,mm,completed,17284,2023-03-06 20:44:56.249047
7eab2bd1-9ccb-4e11-a24d-4cf892e68045,2020-06-19 19:45:49,2020-06-19 19:45:50,2020-06-19 19:45:50,mm,completed,871,2023-03-06 20:44:56.249047
49cf9ac0-40d9-4249-a0a4-d3d6f88adb61,2021-03-17 22:00:17,2021-03-17 22:00:35,2021-03-17 22:00:17,mm,completed,18140,2023-03-06 20:44:56.249047
c5b6638c-8dbb-47ce-81ad-d9d0ce3b6403,2019-09-02 05:47:40,2019-09-02 05:48:27,2019-09-02 05:47:40,mm,completed,46605,2023-03-06 20:44:56.249047
7f46a056-9b91-45dd-8209-87c30937fc76,2020-04-26 16:32:54,2020-04-26 16:32:55,2020-04-26 16:32:55,mm,completed,561,2023-03-06 20:44:56.249047
c1bbb9cf-bb28-4850-b38f-59345e8ddb8f,2021-11-30 20:50:59,2021-11-30 20:51:06,2021-11-30 20:50:59,mm,completed,6940,2023-03-06 20:44:56.249047
db373ba0-ce43-49d9-808c-be102ff3defb,2020-07-10 17:07:00,2020-07-10 17:07:04,2020-07-10 17:07:00,mm,completed,3698,2023-03-06 20:44:56.249047
70aa1e8a-6ba6-486a-8a92-7a006b7a719e,2019-01-08 12:30:25,2020-09-05 09:16:37,2020-09-05 09:16:31,mm,completed,5506,2023-03-06 20:44:56.249047
4bdce482-0112-46c0-8f17-bf24b2d4ddf7,2022-01-21 21:11:16,2022-01-21 21:11:24,2022-01-21 21:11:21,mm,completed,2944,2023-03-06 20:44:56.249047
37225475-9ddd-4ea7-bb64-bc596cfe6dbe,2020-12-07 01:32:09,2020-12-07 01:32:11,2020-12-07 01:32:09,mm,completed,1662,2023-03-06 20:44:56.249047
2a289735-3191-46f7-af7f-66435f213ea0,2022-11-17 10:51:32,2022-11-17 10:51:36,2022-11-17 10:51:33,mm,completed,3403.0,2023-03-06 20:44:56.249047
b86fa424-84f8-4d20-8374-04bfc03f122e,2019-06-06 17:15:57,2019-06-06 17:16:04,2019-06-06 17:15:58,mm,completed,6517,2023-03-06 20:44:56.249047
09d39c84-b239-4603-94d6-c00ee8d86e6a,2020-01-09 16:46:42,2022-10-12 07:59:21,2022-10-12 07:59:07,mm,completed,13051,2023-03-06 20:44:56.249047
cb7429ed-7252-4e41-b0cc-e0e0b4048f06,2021-12-08 08:27:16,2021-12-08 08:27:20,2021-12-08 08:27:16,mm,completed,3556,2023-03-06 20:44:56.249047
8f62ba7a-f9f2-423f-973e-263bfabfd613,2019-11-19 18:37:30,2019-11-19 18:37:33,2019-11-19 18:37:30,mm,completed,3704,2023-03-06 20:44:56.249047
fa5219b1-afdd-4fec-8cd1-0ac84162cbce,2022-05-13 17:09:51,2022-05-13 17:10:28,2022-05-13 17:09:51,mm,completed,6931.0,2023-03-06 20:44:56.249047
20c93b61-4a02-46b1-8dd9-f5c8969800d0,2021-01-28 09:32:02,2021-01-28 09:32:07,2021-01-28 09:32:02,mm,completed,4975,2023-03-06 20:44:56.249047
a0235f4c-ef06-4bda-8aa0-150fab1766cf,2020-11-30 19:23:24,2021-03-29 22:35:32,2021-03-29 22:35:28,mm,completed,3653,2023-03-06 20:44:56.249047
58b96bed-f6bd-427a-9c75-8299545358d6,2021-06-09 13:08:22,2021-06-09 13:08:24,2021-06-09 13:08:23,mm,completed,1059,2023-03-06 20:44:56.249047
efc127a8-07ed-442c-a72a-29d5707544d9,2022-10-25 21:56:55,2022-10-25 21:57:32,2022-10-25 21:56:55,mm,completed,36948,2023-03-06 20:44:56.249047
e81b92a7-aa57-473c-bdba-7f546d25cdff,2021-06-01 06:56:11,2021-06-01 06:56:14,2021-06-01 06:56:11,mm,completed,3472,2023-03-06 20:44:56.249047
394273fa-2f32-48e8-966d-abc4acac9344,2022-10-18 05:45:15,2022-10-18 05:45:21,2022-10-18 05:45:15,mm,completed,4904.0,2023-03-06 20:44:56.249047
8aeea3da-36f4-46c5-b537-e34d40a45802,2020-02-16 03:53:03,2021-04-20 06:20:32,2021-04-20 06:20:24,cm,completed,8245,2023-03-06 20:44:56.249047
2a0aac32-5c5b-4ef4-a4bc-5184a7979f48,2021-04-22 12:07:22,2021-06-11 23:07:04,2021-06-11 23:07:02,mm,completed,1685,2023-03-06 20:44:56.249047
c3359263-31d2-4293-b4a5-c978175c66d4,2022-02-12 17:29:52,2022-02-12 17:30:03,2022-02-12 17:29:52,mm,completed,10955,2023-03-06 20:44:56.249047
4ce28fff-c52a-4d1f-94d8-4f01526866c1,2022-03-02 18:52:28,2022-03-02 18:52:29,2022-03-02 18:52:28,mm,completed,1358,2023-03-06 20:44:56.249047
e0de50cd-90d3-40bc-b065-ae81e7b32f8c,2018-10-25 20:20:15,2018-10-25 20:20:16,2018-10-25 20:20:15,mm,completed,870,2023-03-06 20:44:56.249047
fc0cac91-7c04-4ea4-ae70-9545152effad,2021-10-25 12:57:25,2021-10-25 12:57:35,2021-10-25 12:57:25,mm,completed,9495,2023-03-06 20:44:56.249047
877f3a3c-3f3e-4ca2-9e17-c7f94522aff9,2019-08-22 10:34:17,2019-08-22 10:34:18,2019-08-22 10:34:17,mm,completed,1124,2023-03-06 20:44:56.249047
1874e5d3-6bf4-47d2-8bc9-34dc3041171d,2021-06-18 07:50:10,2021-06-18 07:50:34,2021-06-18 07:50:11,mm,completed,23434,2023-03-06 20:44:56.249047
013e0a75-8d39-4e89-a59c-2c26ce11eef5,2022-11-03 10:02:24,2022-11-03 10:02:40,2022-11-03 10:02:24,mm,completed,16499,2023-03-06 20:44:56.249047
fc9d9e46-84f6-4313-8251-c8c209f9d4d9,2019-12-09 00:09:48,2020-09-12 18:42:48,2020-09-12 18:42:44,mm,completed,4002,2023-03-06 20:44:56.249047
6cec25fe-2e51-4d05-bb8e-c6d09ab889b7,2019-08-13 19:35:42,2019-08-13 19:35:44,2019-08-13 19:35:42,mm,completed,1702,2023-03-06 20:44:56.249047
6cd97cb4-982b-46c6-adc3-20ec29b8a7bb,2021-01-06 11:45:15,2021-01-06 11:45:18,2021-01-06 11:45:15,mm,completed,3494,2023-03-06 20:44:56.249047
a65a262e-68fb-4959-a437-a66b5e359535,2022-09-28 08:41:00,2022-09-28 08:41:11,2022-09-28 08:41:00,mm,completed,10939,2023-03-06 20:44:56.249047
38d01af6-535a-46fe-9d75-df591b8facad,2022-06-21 13:27:09,2022-06-21 13:27:11,2022-06-21 13:27:09,mm,completed,2177,2023-03-06 20:44:56.249047
a5860ac7-a57c-4caf-b7d4-faedfedf03ae,2020-03-11 23:14:57,2020-03-11 23:15:14,2020-03-11 23:14:57,mm,completed,17458,2023-03-06 20:44:56.249047
f58a41d5-05dd-4c6d-9ac5-27a11c544c23,2022-09-16 12:48:44,2022-09-16 12:48:51,2022-09-16 12:48:44,mm,completed,6708.0,2023-03-06 20:44:56.249047
47978024-a8d6-4479-8c97-a534391f4182,2022-10-15 15:53:14,2022-10-15 15:53:15,2022-10-15 15:53:14,mm,completed,739,2023-03-06 20:44:56.249047
5474d7d0-f214-429e-a946-62656bf80aff,2020-09-23 13:06:08,2020-09-23 13:06:14,2020-09-23 13:06:08,mm,completed,6454,2023-03-06 20:44:56.249047
411a6e0f-e5c6-438b-96bf-3e9b4d655983,2018-11-28 23:36:25,2018-11-28 23:36:26,2018-11-28 23:36:25,mm,completed,900,2023-03-06 20:44:56.249047
83ebe8b7-4313-4a27-ab3d-a2d2745ade7d,2019-07-17 21:23:42,2021-06-15 15:17:32,2021-06-15 15:17:28,mm,completed,3852,2023-03-06 20:44:56.249047
6535f6fd-9dea-45fb-b769-69069ae995ac,2022-06-08 18:42:38,2022-06-08 18:42:42,2022-06-08 18:42:38,mm,completed,3969.0,2023-03-06 20:44:56.249047
82d684fd-d68f-4bb5-9f64-29241466f9af,2019-10-10 17:55:20,2019-10-10 17:55:45,2019-10-10 17:55:20,mm,completed,24612,2023-03-06 20:44:56.249047
ef6ed0fb-6257-474c-9a51-119e1b423e27,2020-10-06 13:03:20,2020-10-06 13:03:21,2020-10-06 13:03:21,mm,completed,879,2023-03-06 20:44:56.249047
7d44f432-ef18-4362-98bc-c0ea224e97d4,2020-10-20 09:27:18,2020-10-20 09:27:21,2020-10-20 09:27:18,mm,completed,3138,2023-03-06 20:44:56.249047
5eeacd47-2cac-406c-be7f-2eb418b2e1a0,2021-01-05 21:07:29,2021-01-05 21:07:34,2021-01-05 21:07:29,mm,completed,5459,2023-03-06 20:44:56.249047
f7d9c8e6-7ccd-486f-a4a2-c4893fc20c3c,2021-08-08 23:54:09,2021-08-08 23:54:11,2021-08-08 23:54:09,mm,completed,1745,2023-03-06 20:44:56.249047
7134976a-515e-4678-b762-630a2162bd3a,2022-09-08 08:02:48,2022-09-08 08:02:49,2022-09-08 08:02:48,mm,completed,1318,2023-03-06 20:44:56.249047
aedbdcc7-4807-49a9-b568-f4b108162266,2022-10-07 09:40:34,2022-10-07 09:40:37,2022-10-07 09:40:34,mm,completed,2867,2023-03-06 20:44:56.249047
b92a6ea4-102c-4620-be08-fccca83f742e,2022-09-13 14:24:10,2022-09-13 14:24:13,2022-09-13 14:24:10,mm,completed,3389,2023-03-06 20:44:56.249047
e4ccc8e5-c572-4d79-bde7-74c239927b57,2019-07-13 10:08:48,2019-07-13 10:08:49,2019-07-13 10:08:48,mm,completed,928,2023-03-06 20:44:56.249047
d4e3a021-78da-49f9-836b-83e42d1266c1,2021-06-09 08:43:42,2021-06-09 08:43:56,2021-06-09 08:43:42,mm,completed,1091,2023-03-06 20:44:56.249047
b5697d90-008e-441a-b259-89cc897ece49,2022-12-21 17:53:39,2022-12-21 17:53:41,2022-12-21 17:53:39,mm,completed,2214,2023-03-06 20:44:56.249047
8956e20e-f45c-4fb6-b53d-fe037d20e706,2023-01-09 11:55:03,2023-01-09 11:55:05,2023-01-09 11:55:03,mm,completed,1993,2023-03-06 20:44:56.249047
c8b7a2b6-6cc3-47d1-ba21-9b6c8a705d9b,2018-10-26 08:13:14,2018-10-26 08:13:18,2018-10-26 08:13:14,mm,completed,3964,2023-03-06 20:44:56.249047
f326beff-c05f-4c9e-8e45-86ec3fa92c5d,2020-05-19 00:14:03,2020-05-19 00:14:08,2020-05-19 00:14:03,mm,completed,4774,2023-03-06 20:44:56.249047
e5224485-1d0c-422e-9da1-aad50fc188f8,2021-04-21 12:15:43,2021-04-21 12:15:57,2021-04-21 12:15:43,mm,completed,14308,2023-03-06 20:44:56.249047
bc585b9f-fb6e-45dd-8765-6a49b85c8a20,2021-01-11 15:22:37,2021-01-11 15:22:52,2021-01-11 15:22:37,mm,completed,14239,2023-03-06 20:44:56.249047
563149c6-84b5-4d14-962e-a07cb5d94c33,2022-06-09 12:35:11,2022-06-09 12:35:19,2022-06-09 12:35:11,mm,completed,4289,2023-03-06 20:44:56.249047
1e0801da-46fc-4364-87f3-b911625e4b48,2022-11-11 10:14:56,2022-11-11 10:14:58,2022-11-11 10:14:56,mm,completed,2157.0,2023-03-06 20:44:56.249047
86305cf7-b459-440d-a1cb-5da9baf3fad3,2019-02-01 18:59:52,2019-02-01 19:00:40,2019-02-01 18:59:52,in,completed,47747,2023-03-06 20:44:56.249047
f38b6404-29e5-432d-a990-43af8b651f56,2019-03-14 13:16:55,2019-03-14 13:17:04,2019-03-14 13:16:55,mm,completed,8973,2023-03-06 20:44:56.249047
8d3cd602-585d-4269-b258-20d21bc245c0,2021-04-06 16:11:05,2021-04-06 16:11:07,2021-04-06 16:11:05,mm,completed,1807,2023-03-06 20:44:56.249047
3c5feb79-bf6d-4409-bffc-1e39ac1902fc,2021-01-29 19:20:48,2021-01-29 19:21:09,2021-01-29 19:20:48,mm,completed,20806,2023-03-06 20:44:56.249047
d3bb0435-b1d7-43fa-8952-63162c2033bd,2020-02-16 19:20:50,2022-10-11 14:17:40,2022-10-11 14:16:55,mm,completed,2990,2023-03-06 20:44:56.249047
1de60118-3d38-44ac-8051-672e77aaca89,2021-02-13 16:44:09,2021-02-13 16:44:22,2021-02-13 16:44:09,mm,completed,12175,2023-03-06 20:44:56.249047
8c2bfcde-8ab9-4517-8596-5c7dad27f76d,2021-06-28 06:27:35,2021-06-28 06:27:36,2021-06-28 06:27:35,mm,completed,1370,2023-03-06 20:44:56.249047
493bb2e9-6294-446a-b291-9272a8777284,2019-10-09 12:05:23,2019-10-09 12:05:25,2019-10-09 12:05:23,mm,completed,1125,2023-03-06 20:44:56.249047
cce6de5e-4409-400a-addb-55a5fe76a896,2020-01-09 13:02:16,2020-01-09 13:02:28,2020-01-09 13:02:17,mm,completed,11650,2023-03-06 20:44:56.249047
c0558956-7a13-4122-894f-f5c06f535b5c,2019-02-21 14:08:54,2019-02-21 14:08:58,2019-02-21 14:08:55,mm,completed,3223,2023-03-06 20:44:56.249047
50329229-9dad-41c4-96b0-b0dc25fb7ad2,2020-09-14 15:40:45,2020-09-14 15:40:46,2020-09-14 15:40:45,mm,completed,716,2023-03-06 20:44:56.249047
b058a44a-98b6-4ee4-bfeb-d8eacff7d035,2020-08-29 11:24:21,2021-04-20 05:19:16,2021-04-20 05:19:14,mm,completed,1920,2023-03-06 20:44:56.249047
065ab74a-6ff9-4364-8214-0d7da1f8a1bf,2022-11-10 20:36:59,2022-11-10 20:37:01,2022-11-10 20:36:59,mm,completed,1190,2023-03-06 20:44:56.249047
45a443ea-ad52-4d80-8a0b-77fd080b9da3,2021-01-11 14:57:56,2021-01-11 14:57:58,2021-01-11 14:57:56,mm,completed,2298,2023-03-06 20:44:56.249047
0d031491-b71a-48f5-a6d8-d535d24777a9,2018-10-26 15:38:15,2020-04-28 05:35:09,2020-04-28 05:35:07,mm,completed,1248,2023-03-06 20:44:56.249047
e3ea6907-116f-4263-b7af-455e69da01dc,2019-01-27 23:07:03,2019-01-27 23:07:04,2019-01-27 23:07:03,mm,completed,1309,2023-03-06 20:44:56.249047
6b1f5eee-ae68-4330-9c0b-ef3d596a4f8e,2020-06-12 13:40:41,2020-06-12 13:40:42,2020-06-12 13:40:42,mm,completed,705,2023-03-06 20:44:56.249047
7881f669-8f92-41d9-8a43-9eaec320376f,2020-01-28 19:31:34,2020-01-28 19:31:44,2020-01-28 19:31:35,mm,completed,9654,2023-03-06 20:44:56.249047
465d785e-f024-473b-bcdf-ed0f37590fe7,2019-03-21 16:34:54,2019-03-21 16:35:10,2019-03-21 16:34:54,mm,completed,16147,2023-03-06 20:44:56.249047
07ade6d4-b212-4e62-9790-b0544c642bdd,2020-05-06 12:52:59,2020-05-13 16:59:16,2020-05-13 16:59:08,mm,completed,10309,2023-03-06 20:44:56.249047
43ec9e32-e071-4988-a4a5-1f99e6db09ca,2022-09-29 10:06:42,2022-09-29 10:06:43,2022-09-29 10:06:42,mm,completed,935.0,2023-03-06 20:44:56.249047
c485cf8b-7d15-42a6-9627-2d4539bcdb28,2021-09-14 08:52:26,2021-09-14 08:53:03,2021-09-14 08:52:26,mm,completed,37537,2023-03-06 20:44:56.249047
ef095169-432e-4933-9cf0-998f15383b89,2019-04-16 09:06:16,2019-04-16 09:06:18,2019-04-16 09:06:17,mm,completed,1344,2023-03-06 20:44:56.249047
42e038e9-8e2f-439b-b3dc-f86012abbace,2020-02-21 14:10:09,2020-02-21 14:10:20,2020-02-21 14:10:10,mm,completed,10427,2023-03-06 20:44:56.249047
3e2f7326-8765-4c06-8ac6-1fda48c01c17,2022-03-08 14:28:54,2022-03-08 14:29:06,2022-03-08 14:28:54,mm,completed,12141,2023-03-06 20:44:56.249047
f9230b7e-c910-466c-842c-4ec15fb6d9c5,2021-06-11 14:31:16,2021-06-11 14:31:24,2021-06-11 14:31:16,mm,completed,7923,2023-03-06 20:44:56.249047
3ca462a5-aeef-48fc-81ca-b27262d6d914,2022-10-04 15:53:12,2022-10-04 15:53:14,2022-10-04 15:53:12,mm,completed,1404,2023-03-06 20:44:56.249047
b3f5271e-83f7-4173-bd61-02397bb14bad,2022-03-31 13:48:33,2022-03-31 13:48:37,2022-03-31 13:48:33,mm,completed,4735,2023-03-06 20:44:56.249047
8a80a5ca-3673-4864-bffc-01859d443176,2021-11-04 16:02:01,2021-11-04 16:02:11,2021-11-04 16:02:01,mm,completed,10194,2023-03-06 20:44:56.249047
bbe3ef0b-c293-40dc-a9b8-57abaabf6e93,2020-10-09 23:05:21,2020-10-09 23:05:30,2020-10-09 23:05:21,mm,completed,9326,2023-03-06 20:44:56.249047
660f33c3-b406-495e-a0c7-40fb9efaf49b,2022-10-06 06:27:37,2022-10-06 06:27:40,2022-10-06 06:27:37,mm,completed,2916,2023-03-06 20:44:56.249047
882b25fc-3ce1-4c69-a39d-f69dfa0487b3,2022-01-25 17:04:32,2022-01-25 17:04:36,2022-01-25 17:04:32,mm,completed,3370,2023-03-06 20:44:56.249047
10330c0b-6806-4703-bdc9-29f550b89f2e,2018-10-26 12:51:15,2020-09-11 15:41:54,2020-09-11 15:41:53,mm,completed,1602,2023-03-06 20:44:56.249047
27922c5a-791c-4cb9-8e8e-56efa7b1c3c0,2022-08-04 11:42:48,2022-08-04 11:42:51,2022-08-04 11:42:48,mm,completed,3203,2023-03-06 20:44:56.249047
cc11ce3b-5758-4cf6-a609-d2b8d9beb637,2023-01-17 16:17:07,2023-01-17 16:17:50,2023-01-17 16:17:07,mm,completed,16881.0,2023-03-06 20:44:56.249047
856b41cf-d873-4f82-96c6-f176507ff9ce,2020-02-08 19:38:01,2020-02-08 19:38:06,2020-02-08 19:38:01,mm,completed,4133,2023-03-06 20:44:56.249047
7e38f7de-3628-4d35-8356-0d2cc6956c7f,2022-09-09 13:40:20,2022-09-09 13:40:25,2022-09-09 13:40:20,mm,completed,4749,2023-03-06 20:44:56.249047
b011a072-c1ed-4cdb-8c84-16d7d1577c7a,2020-01-23 17:34:58,2020-01-23 17:35:02,2020-01-23 17:34:58,mm,completed,3859,2023-03-06 20:44:56.249047
a2d78d89-191b-42ed-b26c-a0a0303f2758,2020-08-26 02:56:44,2020-08-26 02:57:03,2020-08-26 02:56:44,mm,completed,18305,2023-03-06 20:44:56.249047
862c7919-abd4-4b05-93fd-e69dfb77268a,2020-11-30 13:55:34,2020-11-30 13:55:38,2020-11-30 13:55:34,mm,completed,3999,2023-03-06 20:44:56.249047
